model_id,model,vendor,surface_id,surface,counts_as,lifecycle,exposure,state_is_terminal,last_event,last_event_date,last_event_precision,known_as_of,model_superseded_by,open_questions
kimi-k3,Kimi K3,Moonshot AI,moonshot,Moonshot AI,,ga,not_applicable,false,moonshot-kimi-k3-2026-07-01,2026-07-01,day,2026-07-28,,0
llama-2,Llama 2,Meta,meta,Meta,,ga,not_applicable,false,meta-llama2-2023-07-18,2023-07-18,day,2026-07-28,,0
llama-2,Llama 2,Meta,azure-ai-catalog,Azure AI model catalogue,microsoft | foundry,ga,catalogue,false,meta-llama2-azure-2023-07-18,2023-07-18,day,2026-07-28,,0
mistral-3,Mistral 3,Mistral AI,mistral,Mistral,,ga,not_applicable,false,mistral3-2025-12-02,2025-12-02,day,2026-07-28,,0
mistral-large-3,Mistral Large 3,Mistral AI,microsoft-foundry,Microsoft Foundry,microsoft | foundry,ga,catalogue,false,foundry-mistral-large3-2025-12-02,2025-12-02,day,2026-07-28,,0
mistral-large-3,Mistral Large 3,Mistral AI,mistral,Mistral,,ga,not_applicable,false,mistral3-2025-12-02,2025-12-02,day,2026-07-28,,0
o1,o1,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-o1-retired-2025-07-07,2025-07-07,day,2026-07-28,,0
o1,o1,OpenAI,github-models,GitHub Models,microsoft,public_preview,catalogue,false,github-models-o1-2024-12-20,2024-12-20,day,2026-07-28,,0
o1,o1,OpenAI,openai-api,OpenAI API,,ga,not_applicable,false,openai-o1-full-2024-12-17,2024-12-17,day,2026-07-28,,0
o1-mini,o1-mini,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-o1-mini-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
o1-mini,o1-mini,OpenAI,github-models,GitHub Models,microsoft,limited_preview,catalogue,false,github-models-o1-mini-waitlist-2024-09-19,2024-09-19,day,2026-07-28,,0
o1-mini,o1-mini,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,limited_preview,catalogue,false,azure-o1-mini-preview-2024-09-12,2024-09-12,day,2026-07-28,,1
o1-mini,o1-mini,OpenAI,openai,OpenAI,,retired,not_applicable,true,openai-o1-mini-retired-2025-10-27,2025-10-27,day,2026-07-28,,0
o1-preview,o1-preview,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,limited_preview,selectable,false,github-o1-preview-waitlist-2024-09-19,2024-09-19,day,2026-07-28,o1,0
o1-preview,o1-preview,OpenAI,github-models,GitHub Models,microsoft,limited_preview,catalogue,false,github-models-o1-preview-waitlist-2024-09-19,2024-09-19,day,2026-07-28,o1,0
o1-preview,o1-preview,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,limited_preview,catalogue,false,azure-o1-preview-2024-09-12,2024-09-12,day,2026-07-28,o1,1
o1-preview,o1-preview,OpenAI,openai,OpenAI,,retired,not_applicable,true,openai-o1-preview-retired-2025-07-28,2025-07-28,day,2026-07-28,o1,0
o3,o3,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-o3-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
o3,o3,OpenAI,github-models,GitHub Models,microsoft,public_preview,catalogue,false,github-models-o3-2025-04-16,2025-04-16,day,2026-07-28,,0
o3,o3,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,ga,catalogue,false,azure-o3-2025-04-16,2025-04-16,day,2026-07-28,,0
o3,o3,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-o3-2025-04-16,2025-04-16,day,2026-07-28,,1
o3-mini,o3-mini,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-o3-mini-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
o3-mini,o3-mini,OpenAI,github-models,GitHub Models,microsoft,public_preview,catalogue,false,github-models-o3-mini-2025-01-31,2025-01-31,day,2026-07-28,,0
o3-mini,o3-mini,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,specialist,false,m365-analyst-ga-2025-06-02,2025-06-02,day,2026-07-28,,0
o3-mini,o3-mini,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,ga,catalogue,false,azure-o3-mini-2025-01-31,2025-01-31,day,2026-07-28,,3
o3-mini,o3-mini,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-o3-mini-2025-01-31,2025-01-31,day,2026-07-28,,0
o4-mini,o4-mini,OpenAI,github-copilot,GitHub Copilot,microsoft | copilot | github_copilot,retired,selectable,true,github-o4-mini-retired-2025-10-23,2025-10-23,day,2026-07-28,,0
o4-mini,o4-mini,OpenAI,github-models,GitHub Models,microsoft,public_preview,catalogue,false,github-models-o4-mini-2025-04-16,2025-04-16,day,2026-07-28,,0
o4-mini,o4-mini,OpenAI,azure-openai,Azure OpenAI Service,microsoft | foundry,ga,catalogue,false,azure-o4-mini-2025-04-16,2025-04-16,day,2026-07-28,,3
o4-mini,o4-mini,OpenAI,openai,OpenAI,,ga,not_applicable,false,openai-o4-mini-2025-04-16,2025-04-16,day,2026-07-28,,0
openai-deep-research,OpenAI deep research model,OpenAI,chatgpt,ChatGPT,,ga,not_applicable,false,openai-deep-research-2025-02-02,2025-02-02,day,2026-07-28,,0
openai-deep-research,OpenAI deep research model,OpenAI,m365-copilot,Microsoft 365 Copilot,microsoft | copilot | m365,ga,specialist,false,m365-researcher-ga-2025-06-02,2025-06-02,day,2026-07-28,,0
