model_id,model,vendor,tier,measure,baseline_event,baseline_date,baseline_lifecycle,first_event,first_date,first_surface,first_exposure,first_lifecycle,lag_days_min,lag_days_max,certainty
claude-fable-5,Claude Fable 5,Anthropic,m365,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,m365-fable5-preview-2026-06-10,2026-06-10,m365-copilot,selectable,public_preview,1,1,exact
claude-fable-5,Claude Fable 5,Anthropic,m365,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,m365-fable5-preview-2026-06-10,2026-06-10,m365-copilot,selectable,public_preview,1,1,exact
claude-fable-5,Claude Fable 5,Anthropic,studio,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,,,,,,,,not_recorded
claude-fable-5,Claude Fable 5,Anthropic,studio,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,,,,,,,,not_recorded
claude-fable-5,Claude Fable 5,Anthropic,github_copilot,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,github-fable5-ga-2026-06-09,2026-06-09,github-copilot,selectable,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,github_copilot,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,github-fable5-ga-2026-06-09,2026-06-09,github-copilot,selectable,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,foundry,any_exposure,anthropic-fable5-2026-06-09,2026-06-09,ga,foundry-fable5-2026-06-09,2026-06-09,microsoft-foundry,catalogue,ga,0,0,exact
claude-fable-5,Claude Fable 5,Anthropic,foundry,selectable_or_default,anthropic-fable5-2026-06-09,2026-06-09,ga,,,,,,,,unknown_open_research
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,microsoft,any_exposure,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,foundry-haiku4-5-2025-11-18,2025-11-18,microsoft-foundry,catalogue,public_preview,34,34,exact
claude-haiku-4-5,Claude Haiku 4.5,Anthropic,microsoft,selectable_or_default,anthropic-haiku4-5-2025-10-15,2025-10-15,ga,,,,,,,,not_recorded
